[2020-11-13 18:32:46,977: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[378ce316-5a43-4c3a-b289-f2ead68a01e7] succeeded in 0.0031089000003703404s: 147
[2020-11-13 18:32:46,977: INFO/MainProcess] Received task: core.tasks.every_10_sec[a11da3df-f1ed-41cd-b9e8-c1420b0a5193]  
[2020-11-13 18:32:46,977: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[0d0d955d-bae4-475f-ae03-3a32a7cbb4e9] succeeded in 0.0028702999998131418s: 74
[2020-11-13 18:32:46,980: INFO/MainProcess] Received task: core.tasks.every_10_sec[e9323184-183b-41df-8bab-db2a9a4239a2]  
[2020-11-13 18:32:46,982: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[ce714f93-1b72-4f92-bd9d-dbd3ab752e54]: Run every 10sec methods
[2020-11-13 18:32:46,982: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[2b876215-e6b3-450f-87cf-246affa9003a]: Run every 10sec methods
[2020-11-13 18:32:46,982: INFO/MainProcess] Received task: core.tasks.every_10_sec[4efb8ee7-cf04-46a9-9618-3c7283295b7c]  
[2020-11-13 18:32:46,982: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[a0c0a212-a4e1-43d8-a505-a42b605417d1]: Run every 10sec methods
[2020-11-13 18:32:46,983: INFO/ForkPoolWorker-2] core.tasks.every_10_sec[ce714f93-1b72-4f92-bd9d-dbd3ab752e54]: result: 183
[2020-11-13 18:32:46,983: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b50c18e-07ec-46bf-b9f6-b0678196ce00]: Run every 30sec methods
[2020-11-13 18:32:46,983: INFO/ForkPoolWorker-1] core.tasks.every_10_sec[2b876215-e6b3-450f-87cf-246affa9003a]: result: 140
[2020-11-13 18:32:46,984: INFO/MainProcess] Received task: core.tasks.every_30_sec[4c7fad28-86fa-4aed-ba02-75ce71bf03ee]  
[2020-11-13 18:32:46,984: INFO/ForkPoolWorker-2] Task core.tasks.every_10_sec[ce714f93-1b72-4f92-bd9d-dbd3ab752e54] succeeded in 0.002185700000154611s: 183
[2020-11-13 18:32:46,984: INFO/ForkPoolWorker-3] core.tasks.every_10_sec[a0c0a212-a4e1-43d8-a505-a42b605417d1]: result: 142
[2020-11-13 18:32:46,985: INFO/ForkPoolWorker-4] core.tasks.every_30_sec[8b50c18e-07ec-46bf-b9f6-b0678196ce00]: result: 138
[2020-11-13 18:32:46,985: INFO/ForkPoolWorker-1] Task core.tasks.every_10_sec[2b876215-e6b3-450f-87cf-246affa9003a] succeeded in 0.0031782000000930566s: 140
[2020-11-13 18:32:46,986: INFO/ForkPoolWorker-4] Task core.tasks.every_30_sec[8b50c18e-07ec-46bf-b9f6-b0678196ce00] succeeded in 0.0031961999998202373s: 138
[2020-11-13 18:32:46,985: INFO/ForkPoolWorker-3] Task core.tasks.every_10_sec[a0c0a212-a4e1-43d8-a505-a42b605417d1] succeeded in 0.003549099999872851s: 142
[2020-11-13 18:32:46,987: INFO/MainProcess] Received task: core.tasks.every_10_sec[e56f850f-991f-4b20-b832-e28d607b30d4]  
